"Hash","Hash"
"Url key","Url key"
"URL","URL"
"Your login name to access OnPulse service","Your login name to access OnPulse service"
"Key","Key"
"Direct login URL","Direct login URL"
"Direct login QR","Direct login QR"
"Save and generate new login credentials","Save and generate new login credentials"
"Each time you reset credentials OnPulse generates new URL, key, direct login and QR code","Each time you reset credentials OnPulse generates new URL, key, direct login and QR code"
"Disable direct login link","Disable direct login link"
"Yes","Yes"
"No","No"
"Show statistic for orders with statuses","Show statistic for orders with statuses"
